"RequestedName","ObjectType","RowCount","ReservedMB","HasPrimaryKey","ForeignKeyCount","IndexCount"
"ActionLog","USER_TABLE","383","0.48","True","0","1"
"AdUsers","USER_TABLE","15130","56.16","False","0","0"
"DeviceApplicationMatches","USER_TABLE","34","0.07","True","0","1"
"DeviceBrowserLogging","USER_TABLE","0","52.57","False","0","0"
"DeviceBrowserLogging_Archive","USER_TABLE","2474721","854.5","False","0","1"
"DeviceBrowserLogging2Exclude","USER_TABLE","4236","0.7","True","0","1"
"DeviceLoggingErrors","USER_TABLE","10275","2.79","False","0","0"
"DeviceLoggingSettings","USER_TABLE","33","0.07","True","0","1"
"DeviceLoggingUserAdGroupMembers","USER_TABLE","115","0.07","False","0","0"
"DeviceLoggingUsers","USER_TABLE","285","0.2","True","0","1"
"DeviceLoggingUserSettings","USER_TABLE","8","0.07","True","0","1"
"DeviceProcess2Exclude","USER_TABLE","304","0.2","True","0","1"
"DeviceProcessLogging","USER_TABLE","0","7.5","False","0","0"
"DeviceProcessLogging_archive","USER_TABLE","61747","16.47","False","0","0"
"DeviceRecentFileAndFolderLogging","USER_TABLE","0","1.13","False","0","0"
"DeviceRecentFileAndFolderLogging_Archive","USER_TABLE","13037","2.7","False","0","0"
"DeviceScripts","USER_TABLE","1","0.14","True","1","1"
"DeviceScriptSchedules","USER_TABLE","1","0.14","True","1","2"
"DeviceTypes","USER_TABLE","38","0.07","True","0","1"
"GG_YF_Employments","USER_TABLE","5876","2.2","False","0","0"
"GG_YF_EmploymentsExtensions","USER_TABLE","23559","2.63","False","0","0"
"GG_YF_OrganizationUnits","USER_TABLE","682","0.13","False","0","0"
"SystemLookups","USER_TABLE","11","0.07","True","0","1"
"uam_log_minimal","USER_TABLE","29574","3.82","True","1","1"
"uam_log_minimal_dates","USER_TABLE","113099","2.83","True","1","1"
"vwt_hr_contracts","USER_TABLE","7179","2.9","False","0","0"
"WIJ_AFAS_Employments","USER_TABLE","1321","0.51","False","0","0"
