"TableName","TablePurpose","Ownership","ColumnOrdinal","ColumnName","SqlType","Nullable","KeyRole","DefaultDefinition","IndexNames","ProductionRows","ProductionNonNullRows","ProductionFillPercent","AgentStrongReferences","AgentTokenReferences","DevAppStrongReferences","DevAppTokenReferences","ProdAppStrongReferences","ProdAppTokenReferences","AllStrongReferences","AllTokenReferences","DataSensitivity","Assessment","MigrationRecommendation","Note"
"ActionLog","Polymorf auditspoor van beheeracties in de PSU-app.","Legacy UAM","1","LogID","int","False","IDENTITY; PK(1)","","PK__ActionLo__5E5499A8FE30DAA7","383","383","100","4","4","5","5","8","8","17","17","intern/configuratie","structureel","behouden/hermodelleren","Onderdeel van identity-, primary-key- of foreign-keystructuur."
"ActionLog","Polymorf auditspoor van beheeracties in de PSU-app.","Legacy UAM","2","ActionType","nvarchar(50)","True","","","","383","383","100","0","0","6","6","11","11","17","17","intern/configuratie","actief in code","migreren na semantische controle","Exacte codetokens: agent=0, DEV-app=6, PROD-app=11."
"ActionLog","Polymorf auditspoor van beheeracties in de PSU-app.","Legacy UAM","3","TableName","nvarchar(100)","True","","","","383","383","100","0","0","1","14","19","43","20","57","persoons-/gebruiksgegeven","actief in code","migreren na semantische controle","Exacte codetokens: agent=0, DEV-app=14, PROD-app=43."
"ActionLog","Polymorf auditspoor van beheeracties in de PSU-app.","Legacy UAM","4","RecordID","varchar(128)","True","","","","383","383","100","0","0","1","1","7","7","8","8","intern/configuratie","actief in code","migreren na semantische controle","Polymorfe tekstsleutel; de doelentiteit wordt alleen via TableName geïnterpreteerd. Exacte codetokens: agent=0, DEV-app=1, PROD-app=7."
"ActionLog","Polymorf auditspoor van beheeracties in de PSU-app.","Legacy UAM","5","ChangedFields","nvarchar(max)","True","","","","383","383","100","0","0","1","1","6","11","7","12","gevoelige diagnostiek/configuratie","actief in code","migreren na semantische controle","Vrije auditpayload; kan persoonsgegevens en oude/nieuwe waarden bevatten. Exacte codetokens: agent=0, DEV-app=1, PROD-app=11."
"ActionLog","Polymorf auditspoor van beheeracties in de PSU-app.","Legacy UAM","6","UserName","nvarchar(100)","True","","","","383","383","100","26","46","15","17","26","26","67","89","persoons-/gebruiksgegeven","actief in code","migreren na semantische controle","Exacte codetokens: agent=46, DEV-app=17, PROD-app=26."
"ActionLog","Polymorf auditspoor van beheeracties in de PSU-app.","Legacy UAM","7","Timestamp","datetime","True","","(getdate())","","383","383","100","0","4","4","4","14","14","18","22","intern/configuratie","actief in code","migreren na semantische controle","Exacte codetokens: agent=4, DEV-app=4, PROD-app=14."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","1","SID","nvarchar(max)","True","","","","15130","15130","100","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","2","SIDHistory","nvarchar(max)","True","","","","15130","0","0","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","3","LastKnownParent","varchar(8000)","True","","","","15130","286","1.89","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","4","ObjectCategory","varchar(8000)","True","","","","15130","15130","100","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","5","instanceType","int","True","","","","15130","15130","100","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","6","ObjectClass","varchar(8000)","True","","","","15130","15130","100","0","1","0","0","0","0","0","1","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
"AdUsers","Extern AD-gebruikerssnapshot; breed klantbroncontract en geen eigendom van UAM.","External source contract","7","employeeType","varchar(8000)","True","","","","15130","7","0.05","0","0","0","0","0","0","0","0","persoons-/gebruiksgegeven","extern bronveld","broncontract configureren","Niet als UAM-eigendom beoordelen; alleen projecteren wat de module werkelijk nodig heeft."
